breed,parity,kgmilk,cellcount,cowid
3,1,13.2,20,56700527
3,1,13.7,20,56700528
3,1,13.9,20,56700531
3,1,16.7,20,56700533
3,4,22.8,30,59000581
3,4,11.8,130,59000683
3,1,16.2,960,61910449
3,1,13.2,530,61910451
3,1,15.2,70,61910453
3,1,13.8,110,61910460
3,6,14.8,180,62950341
3,5,26,300,62950356
3,3,12.4,1270,63590395
1,1,15,20,66210685
3,4,12.8,100,67650531
3,3,21.4,290,68770581
3,3,23.6,110,68770582
3,2,10.8,510,68770583
3,2,7.2,370,68770584
3,2,18.6,50,68770589
3,2,18.4,120,68770590
3,2,9.6,70,68770591
3,1,10.4,60,68770594
3,1,12.4,100,68770596
3,3,15.2,480,68770600
3,3,15.4,480,68770601
3,3,20.4,70,68770602
3,1,9.6,200,68770605
3,1,12.8,220,68770606
3,1,15.8,580,68770607
3,1,14.2,50,68770610
3,1,16.8,80,68770612
3,1,15.4,330,68770622
3,4,12.4,80,68770673
3,3,13.4,150,68770677
3,3,15.8,150,68770679
1,4,15.3,1060,70700486
2,2,8.8,580,72560450
2,4,23.2,280,79030233
2,3,10,680,79030246
2,3,19.8,110,79030255
2,3,22.4,100,79030270
2,3,21.2,110,79030288
2,2,17.2,270,79030296
2,2,17.6,200,79030317
2,2,18.4,20,79030321
2,2,12.8,160,79030322
2,2,23.6,40,79030326
2,2,27.6,30,79030328
2,2,18,110,79030331
2,2,22,110,79030336
2,2,20.2,110,79030337
2,2,21.2,100,79030339
2,2,17,2310,79030341
2,2,19.6,280,79030345
2,2,23.6,290,79030349
2,2,27.2,30,79030361
8,1,8.2,150,79030362
2,2,26.6,570,79030364
2,1,17.4,130,79030365
8,1,19.2,20,79030366
8,1,10.8,80,79030373
2,1,20.2,180,79030374
2,1,27,70,79030375
2,1,19.2,140,79030385
2,1,10.4,430,79030386
2,1,23.2,30,79030389
2,2,12.4,1510,79030393
2,1,22,100,79030394
2,1,24.4,90,79030400
2,1,24,240,79030401
2,1,21.4,20,79030405
2,1,21.6,30,79030410
2,1,27.8,70,79030413
2,1,27.2,10,79030415
3,1,18,50,79030416
2,1,23.2,100,79030417
2,1,24,30,79030422
2,1,12.6,110,79030443
2,1,9.8,80,79030455
3,3,15.4,50,79160381
3,6,19.1,10,80050400
2,2,23,140,80950566
3,8,16.2,290,81870316
8,4,27.3,4330,83300590
1,3,17.2,220,83300597
1,4,32.3,1060,83300622
1,3,33,150,83300623
1,3,20.6,110,83300631
3,3,6.1,240,83300633
3,3,23.5,650,83300645
3,3,28.7,10,83300652
8,2,22.2,30,83300653
1,2,4.7,840,83300661
1,3,25.4,40,83300664
1,2,8,1380,83300668
1,2,12.1,260,83300676
1,2,16.2,40,83300687
8,2,14,70,83300693
3,2,19.8,1,83300694
1,2,12,240,83300702
1,2,21.2,1100,83300703
1,2,28.2,160,83300708
8,2,26.8,40,83300710
1,2,22.8,70,83300712
1,2,31.1,150,83300715
3,2,22.4,1,83300721
1,2,26.6,10,83300723
1,1,22.5,860,83300724
3,1,18.2,10,83300729
3,1,4,200,83300730
1,2,29.5,170,83300735
1,1,17,1,83300736
3,2,22.1,1,83300738
1,1,10.5,130,83300742
1,1,13.2,80,83300743
3,1,11,20,83300750
1,1,23,160,83300751
3,2,21.4,50,83300752
3,1,7,90,83300753
1,1,20.1,70,83300759
1,1,18.8,100,83300766
1,1,24.6,20,83300770
1,1,27.2,10,83300776
3,1,18.1,10,83300781
3,1,16.3,70,83300782
3,1,20.3,150,83300783
1,1,23.3,10,83300786
1,1,20.1,1540,83300787
1,1,20.7,100,83300788
3,6,21.2,20,83360365
3,6,13.8,190,86430401
3,5,18.6,90,86430445
3,5,11.8,80,86430455
3,6,25.2,10,86430464
3,4,15.6,70,86430485
3,4,14.6,50,86430493
3,4,15.4,50,86430500
3,4,18,20,86430509
3,4,20.8,30,86430520
3,4,21.5,320,86430531
3,3,16.4,820,86430538
3,4,30.2,460,86430539
3,4,18,10,86430544
3,4,19.2,100,86430548
3,3,15.2,20,86430580
3,3,19,60,86430583
3,3,9.6,290,86430588
3,3,18.4,580,86430590
3,3,15,20,86430594
3,3,18.8,1,86430598
3,3,18.8,230,86430603
3,3,15.4,50,86430607
3,3,11,50,86430612
3,3,22,1,86430625
3,3,18.4,1060,86430648
3,2,17.6,150,86430650
3,2,14.6,110,86430652
3,2,9,270,86430654
3,3,21.8,40,86430657
3,2,15,410,86430660
3,2,19.4,300,86430663
3,2,12,350,86430666
3,2,21.2,10,86430672
3,2,11.2,180,86430676
3,2,23.2,140,86430694
3,2,14.4,30,86430700
3,1,13.6,40,86430701
3,1,13.6,520,86430702
3,1,9.8,490,86430703
3,2,19.9,30,86430707
3,1,17.6,30,86430715
3,1,13.6,70,86430717
3,1,15.8,270,86430722
3,1,13,280,86430730
3,1,19,30,86430733
3,1,14.8,100,86430748
3,1,15.8,120,86430753
3,1,16.2,40,86430757
3,1,16.4,30,86430760
3,1,17.4,270,86430767
1,4,26.2,203,91460378
1,4,24.8,99,91460389
1,3,14.4,398,91460395
1,3,9.8,135,91460402
1,3,17.8,655,91460408
1,3,28.6,38,91460410
1,2,20.6,68,91460417
1,2,13.8,2939,91460419
1,2,23.2,1093,91460420
1,2,21.8,33,91460422
1,2,28,45,91460423
1,1,16.6,14,91460437
1,1,16.2,28,91460440
1,1,25.6,55,91460441
1,1,15.8,572,91460447
1,1,14.6,30,111290528
2,3,16,90,112880404
2,3,30.1,674,118060004
2,3,22.6,707,118210056
3,2,23.6,70,127040509
3,2,19,140,138910515
2,1,14.7,55,318210451
2,5,36.3,614,318410388
2,6,26.9,20,318410405
2,6,26.8,405,318410411
2,5,17.3,672,318410501
2,5,38.9,83,318410502
2,4,30,1113,318410520
2,4,40.9,106,318410534
2,4,24.8,758,318410535
2,2,20.1,152,318410551
2,3,40.2,172,318410555
2,3,40.2,2069,318410557
2,2,23.4,135,318410558
2,2,32.7,34,318410569
2,2,22,156,318410580
2,3,36.5,463,318410581
2,2,29.1,352,318410588
2,2,30.9,147,318410589
2,2,22.8,264,318410596
2,2,37.3,356,318410624
2,2,32.5,56,318410627
2,1,29.3,29,318410628
2,1,26.3,179,318410629
2,1,37.7,87,318410634
2,1,20.2,187,318410636
2,1,27,27,318410637
2,1,28.3,81,318410640
2,1,29.6,25,318410642
2,1,33,88,318410643
2,1,32.7,66,318410652
2,5,33.6,27,318570379
2,4,23,364,318570420
2,4,33.2,145,318570429
8,6,14.8,2265,320150411
2,6,28.2,448,320150471
2,4,18.8,337,320150509
2,4,30.8,1134,320150519
2,4,28,87,320150529
2,4,29.4,290,320150550
2,3,6.4,677,320150558
2,3,27.6,975,320150567
2,3,28,32,320150584
2,3,31.6,132,320150586
2,2,15.8,130,320150592
2,3,18,370,320150595
2,2,16.2,257,320150596
2,3,32.2,40,320150597
2,3,22.8,0,320150604
2,2,20.8,800,320150605
2,2,26,516,320150606
2,2,18.2,223,320150616
2,2,24.4,114,320150617
2,2,21,730,320150623
2,1,16.4,58,320150631
2,1,19.8,595,320150635
2,1,14.6,236,320150637
2,2,19,62,320150638
2,2,24.2,445,320150639
2,1,21.8,99,320150663
2,1,16.8,231,320150665
2,1,9.7,75,320150666
2,1,13.8,47,320150667
2,1,14.8,383,320150668
2,2,24,184,320150669
2,1,7,426,320150670
2,1,19.8,99,320150671
2,1,14.8,129,320150672
2,1,18,2844,320150695
1,1,18.8,70,327011129
2,4,20.2,124,328390721
2,4,17.1,230,328390726
2,4,18.7,1063,328390730
2,4,21.9,63,328390734
2,3,11.7,414,328390735
2,3,27.2,1212,328390744
2,4,18.8,1483,328390746
2,3,22.6,171,328390749
2,3,14.2,458,328390750
2,2,5.8,1347,328390753
2,3,13.5,146,328390754
2,3,8.6,969,328390757
2,1,6.4,287,328390762
2,3,18.5,2259,328390766
2,2,7.1,271,328390773
8,3,21.4,151,328390778
2,4,14.3,1574,328390780
2,2,23,78,328390781
2,2,19.9,78,328390787
2,2,14.3,470,328390793
2,2,24.3,473,328390798
2,2,22.5,15,328390799
2,2,11.3,786,328390936
2,1,11.8,75,328390970
2,2,18,97,328390971
2,1,4.9,370,328390972
2,2,12.1,117,328390977
2,2,20.6,780,328390980
2,2,6.3,185,328391001
2,1,14.4,420,328391003
2,2,28.9,94,328391004
2,2,31.6,2557,328391006
2,2,22.6,119,328391008
8,1,19,50,328391012
8,1,14,51,328391013
2,1,12.6,77,328391014
2,1,14.3,3936,328391015
2,1,20.7,77,328391016
2,1,15.9,81,328391017
2,1,24,35,328391018
2,1,19.5,124,328391020
2,1,19,2726,328391021
2,1,18.6,14,328391024
2,1,16.6,501,328391027
2,1,16,30,328391029
2,1,22.3,170,328391030
2,1,20.5,49,328391032
2,1,21.8,45,328391033
2,1,10.1,113,328391034
2,1,16.2,210,328391035
8,1,21.3,27,328391036
2,1,20.1,90,328391037
2,2,17,115,332380475
2,2,23.4,97,332380499
2,1,13.3,205,332380562
2,1,14.5,5813,332380576
2,1,16.7,147,332380578
2,1,16.1,141,339700185
2,1,14.1,1068,345380494
2,3,12.7,224,351540508
8,4,9.6,152,354560688
2,4,14,605,354560698
2,4,13.3,235,354560702
2,4,26.5,28,354560716
2,3,20,433,354560739
2,4,21.6,894,354560740
2,4,22.3,218,354560754
2,3,8.9,319,354560763
8,3,20.9,139,354560764
2,3,19.6,78,354560772
2,3,20.3,340,354560774
2,3,19.2,119,354560775
2,3,16.4,181,354560793
2,2,6.9,342,354560801
2,3,17,181,354560809
2,2,20.6,64,354560810
2,3,29.7,323,354560821
2,2,13.7,389,354560823
2,2,18.2,102,354560825
2,2,18.1,114,354560826
2,2,17.3,151,354560830
2,2,28.9,20,354560836
2,2,27.5,18,354560837
2,2,28.7,207,354560843
2,2,14.9,36,354560845
2,2,32.6,81,354560846
2,1,23.2,290,354560849
2,2,21.4,52,354560851
2,2,8.2,304,354560853
2,2,10.8,425,354560856
2,2,15.7,467,354560874
2,1,16.1,26,354560879
2,1,17.9,16,354560890
2,1,13.2,377,354560891
2,2,27.1,580,354560893
2,2,16.5,146,354560901
2,1,16.9,37,354560907
2,1,14,21,354560910
2,1,17.6,17,354560911
2,1,13.7,36,354560912
2,1,7.9,58,354560915
2,1,18.3,22,354560916
2,1,14.3,351,354560924
2,1,21.4,11,354560926
2,1,14.6,137,354560932
2,1,19.5,297,354560935
2,1,14.1,237,354560936
2,1,14.4,115,354560938
2,1,12.8,15,354560941
2,1,16.9,123,354560942
2,1,13.3,103,354560944
2,1,14.4,805,354560951
2,1,22.1,48,354560952
2,1,19.8,93,354560958
2,1,17.9,14,354560960
2,1,16.9,89,354560961
2,1,11.8,28,354560966
2,2,14.2,21,354590087
1,1,12.1,44,354680623
2,3,23.3,653,369390516
2,4,13.6,99,385610879
2,4,18,270,400840131
1,6,29.4,260,421260498
1,2,16.2,150,421310407
1,3,15.2,100,423790555
1,3,20.4,170,423790573
1,2,14.4,300,423790615
1,2,11.8,310,423790621
1,,19.6,40,423790725
1,1,15.4,40,423790726
2,5,25.6,30,433690507
8,4,20.6,250,433690547
2,4,19.2,360,433690554
2,5,30,180,433690564
2,4,26.4,1160,433690568
2,2,19.8,300,433690615
8,3,11,1420,433690619
2,4,25,3250,433690620
2,3,24.6,370,433690644
2,2,18.4,100,433690646
2,3,30.8,100,433690653
2,2,10.2,290,433690657
2,2,16.4,70,433690662
2,2,24.6,520,433690674
2,2,23.2,80,433690681
2,2,25.4,450,433690682
2,3,24.8,790,433690687
8,2,16.8,40,433690695
2,2,21.2,510,433690698
2,2,21.4,590,433690712
8,2,21.6,20,433690714
8,2,18,2700,433690722
2,1,13.2,70,433690724
8,1,9,80,433690731
8,1,13.6,60,433690742
8,1,17.6,280,433690746
8,1,20.2,20,433690750
8,2,19.2,460,433690753
8,1,15.7,20,433690754
2,1,17.8,30,433690755
8,1,15.8,750,433690757
2,1,16.2,100,433690761
8,1,24.4,20,433690764
2,1,20.8,30,433690767
2,1,20.6,80,433690780
2,3,26,40,433690785
2,1,17.2,80,433690790
2,1,21.4,120,433690809
2,3,15,370,433690810
2,1,23.8,530,433690825
1,5,27.4,10,435170480
1,2,21.4,10,435170579
8,1,18.2,5300,439650705
2,8,34,1070,442440333
2,8,30.8,40,442440371
2,6,29.4,120,442440414
2,5,22,110,442440476
8,4,13.6,710,442440491
2,4,22.4,60,442440506
2,4,30,50,442440511
2,3,9.3,630,442440516
2,3,24.5,80,442440519
2,4,24,110,442440525
2,3,18.2,80,442440534
2,3,15.8,250,442440541
2,3,22.6,50,442440549
2,3,28.8,1090,442440551
2,3,23.4,110,442440552
2,3,21.2,160,442440557
2,2,13.8,230,442440558
2,3,39.1,90,442440561
2,3,25.6,40,442440564
2,2,13.3,240,442440567
2,2,19,480,442440576
8,2,24.6,50,442440579
2,2,27.2,120,442440587
2,2,21.7,40,442440592
2,2,21.4,40,442440596
2,1,13.9,150,442440622
8,1,21.4,30,442440624
2,1,19,160,442440625
2,1,9.9,170,442440626
2,1,21.2,80,442440627
2,1,19.7,40,442440629
2,1,23.2,40,442440630
2,1,18,110,442440631
8,1,25,40,442440632
2,1,23.6,10,442440633
2,1,20.8,90,442440634
2,1,23.6,10,442440635
2,1,20.4,100,442440637
2,1,19,60,442440638
1,1,14.4,550,442580524
1,2,19.2,70,451180055
2,7,27.4,1020,455260888
2,6,17.8,410,455260907
2,6,21.9,8100,455260932
2,6,18.9,720,455260982
2,5,18.7,530,455261056
2,5,9.1,1130,455261068
2,5,19.7,260,455261089
2,5,11.8,180,455261091
2,5,29.3,30,455261104
2,5,23.2,40,455261120
2,5,24.2,130,455261134
2,5,30.8,50,455261163
2,4,18.8,90,455261167
2,3,4.1,1680,455261170
2,5,43.1,50,455261171
2,4,32.6,30,455261198
2,4,19.5,3330,455261205
2,4,25.4,680,455261209
2,4,31.1,190,455261224
2,4,24.9,1670,455261237
2,4,29.4,2340,455261250
2,3,13.8,720,455261257
2,4,22.8,3930,455261261
2,3,24.8,350,455261293
8,4,23,130,455261322
8,3,24.7,450,455261325
2,3,26.4,410,455261343
8,3,10.9,130,455261344
8,3,22.1,160,455261358
2,3,25.8,30,455261361
8,3,25,140,455261363
2,3,20.8,60,455261367
8,3,28.6,540,455261376
8,3,27,40,455261378
8,3,25.8,30,455261381
8,2,20,260,455261383
2,3,21.3,620,455261385
8,3,22.1,1670,455261390
8,3,24,340,455261392
8,2,22.9,180,455261400
8,2,22.7,150,455261405
8,2,4.8,1620,455261406
8,3,22.7,1150,455261408
8,2,19.6,70,455261411
2,2,11.2,150,455261414
8,2,21.8,770,455261415
8,3,26.9,90,455261419
8,2,19.4,140,455261422
8,3,24.8,60,455261426
8,2,20,70,455261428
8,2,25.9,70,455261435
8,2,28.1,20,455261441
8,2,27.2,20,455261442
8,2,17.9,20,455261444
8,2,17.5,30,455261445
8,2,15.4,1000,455261446
8,2,31.3,10,455261448
8,2,29.8,460,455261449
8,2,24.7,70,455261452
8,2,13.4,610,455261454
8,2,18.4,50,455261457
8,2,20.7,200,455261458
8,2,22.5,60,455261464
8,2,19,1790,455261473
8,2,25.7,70,455261477
8,2,18.8,3370,455261480
8,2,26.6,1060,455261483
8,2,26.7,50,455261484
8,2,23.5,950,455261486
8,1,7.5,490,455261492
8,2,28.7,50,455261501
8,2,28.2,80,455261508
8,2,27.5,400,455261509
8,2,17.7,200,455261512
8,2,23,120,455261515
8,2,25,20,455261518
8,1,20.9,10,455261522
8,1,17,40,455261525
8,1,21.7,10,455261526
8,2,26.2,30,455261528
8,1,16.4,50,455261537
8,1,17.2,240,455261539
