"","breed","parity","kgmilk","cellcount","cowid","InCalf"
"764","Jersey","5",11.8,80,"86430455","1"
"765","Jersey","6",25.2,10,"86430464","1"
"766","Jersey","4",15.6,70,"86430485","1"
"767","Jersey","4",14.6,50,"86430493","1"
"768","Jersey","4",15.4,50,"86430500","1"
"769","Jersey","4",18,20,"86430509","0"
"770","Jersey","4",20.8,30,"86430520","0"
"771","Jersey","4",21.5,320,"86430531","1"
"772","Jersey","3",16.4,820,"86430538","0"
"773","Jersey","4",30.2,460,"86430539","1"
"774","Jersey","4",18,10,"86430544","0"
"775","Jersey","4",19.2,100,"86430548","0"
"776","Jersey","3",15.2,20,"86430580","0"
"777","Jersey","3",19,60,"86430583","0"
"778","Jersey","3",9.6,290,"86430588","1"
"779","Jersey","3",18.4,580,"86430590","1"
"780","Jersey","3",15,20,"86430594","1"
"781","Jersey","3",18.8,1,"86430598","0"
"782","Jersey","3",18.8,230,"86430603","1"
"783","Jersey","3",15.4,50,"86430607","0"
"784","Jersey","3",11,50,"86430612","1"
"785","Jersey","3",22,1,"86430625","1"
"786","Jersey","3",18.4,1060,"86430648","0"
"787","Jersey","2",17.6,150,"86430650","1"
"788","Jersey","2",14.6,110,"86430652","1"
"789","Jersey","2",9,270,"86430654","0"
"790","Jersey","3",21.8,40,"86430657","0"
"791","Jersey","2",15,410,"86430660","1"
"792","Jersey","2",19.4,300,"86430663","0"
"793","Jersey","2",12,350,"86430666","1"
"794","Jersey","2",21.2,10,"86430672","0"
"795","Jersey","2",11.2,180,"86430676","1"
"796","Jersey","2",23.2,140,"86430694","1"
"797","Jersey","2",14.4,30,"86430700","1"
"798","Jersey","1",13.6,40,"86430701","1"
"799","Jersey","1",13.6,520,"86430702","1"
"800","Jersey","1",9.8,490,"86430703","1"
"801","Jersey","2",19.9,30,"86430707","1"
"802","Jersey","1",17.6,30,"86430715","1"
"803","Jersey","1",13.6,70,"86430717","1"
"804","Jersey","1",15.8,270,"86430722","1"
"805","Jersey","1",13,280,"86430730","0"
"806","Jersey","1",19,30,"86430733","1"
"807","Jersey","1",14.8,100,"86430748","1"
"808","Jersey","1",15.8,120,"86430753","1"
"809","Jersey","1",16.2,40,"86430757","0"
"810","Jersey","1",16.4,30,"86430760","1"
"811","Jersey","1",17.4,270,"86430767","1"
"812","Jersey","8",14.6,421,"92040558","0"
"813","Guernsey","7",20.4,123,"92040639","1"
"814","Guernsey","5",21.8,963,"92040769","0"
"815","Guernsey","5",30.6,255,"92040786","1"
"816","Guernsey","4",15.4,915,"92040792","1"
"817","Guernsey","5",23.6,107,"92040795","0"
"818","Guernsey","4",24,436,"92040799","1"
"819","Guernsey","5",28.2,728,"92040801","1"
"820","Guernsey","5",16,660,"92040819","1"
"821","Guernsey","4",28.2,922,"92040826","1"
"822","Guernsey","4",23,1242,"92040839","1"
"823","Guernsey","4",23.4,5812,"92040848","0"
"824","Jersey","4",18,2357,"92040855","1"
"825","Jersey","4",16.4,340,"92040859","1"
"826","Jersey","3",11,462,"92040863","1"
"827","Guernsey","4",27,59,"92040865","1"
"828","Guernsey","3",20.8,105,"92040882","1"
"829","Guernsey","3",16.2,137,"92040893","1"
"830","Guernsey","3",28,64,"92040931","1"
"831","Jersey","3",11.2,24,"92040941","1"
"832","Guernsey","3",25,200,"92040947","1"
"833","Jersey","2",5,930,"92040955","1"
"834","Guernsey","2",23.2,34,"92040957","1"
"835","Jersey","2",14.4,28,"92040977","1"
"836","Guernsey","2",28,50,"92040983","0"
"837","Jersey","2",13.4,512,"92040985","1"
"838","Guernsey","2",11,1753,"92040991","1"
"839","Jersey","2",18.2,62,"92040997","1"
"840","Guernsey","2",19.4,910,"92040998","0"
"841","Jersey","2",21.8,88,"92041001","1"
"842","Jersey","2",18.4,835,"92041005","1"
"843","Guernsey","1",13.4,91,"92041012","1"
"844","Guernsey","2",26.8,93,"92041015","1"
"845","Guernsey","2",19.6,24,"92041016","0"
"846","Guernsey","2",16.2,22,"92041017","1"
"847","Guernsey","2",26,106,"92041024","1"
"848","Guernsey","2",21.2,10,"92041025","1"
"849","Guernsey","1",17,44,"92041027","0"
"850","Guernsey","2",15.8,40,"92041033","1"
"851","Guernsey","1",13.2,136,"92041043","1"
"852","Guernsey","1",16.6,203,"92041045","1"
"853","Guernsey","1",14.2,40,"92041049","1"
"854","Guernsey","1",16.4,76,"92041052","1"
"855","Jersey","1",13.2,36,"92041054","1"
"856","Guernsey","1",15.2,6195,"92041057","0"
"857","Jersey","1",12.6,138,"92041059","1"
"858","Guernsey","1",20.2,450,"92041062","1"
"859","Jersey","1",14.8,20,"92041063","0"
"860","Guernsey","1",22,22,"92041064","0"
"861","Jersey","1",17.2,137,"92041066","0"
"862","Jersey","1",9.6,44,"92041069","1"
"863","Guernsey","1",17,567,"92041070","0"
"864","Jersey","1",14,31,"92041074","1"
"865","Jersey","1",13.3,529,"92041076","1"
"866","Guernsey","1",18.4,45,"92041082","1"
"867","Guernsey","1",20.6,504,"92041085","1"
"868","Guernsey","1",16.8,32,"92041086","0"
"869","Jersey","1",16.8,15,"92041093","1"
"870","Guernsey","1",17.2,29,"92041098","0"
"871","Guernsey","1",21.6,50,"92041099","1"
"872","Friesian","6",24.4,250,"92900442","1"
"873","Friesian","2",26.6,203,"103960619","1"
"874","Friesian","7",29.8,2708,"112580333","1"
"875","Friesian","5",32.4,873,"112580421","1"
"876","Friesian","5",12,173,"112580431","1"
"877","Friesian","4",30,459,"112580502","0"
"878","Friesian","4",34.4,202,"112580511","1"
"879","Friesian","4",30,352,"112580526","1"
"880","Guernsey","3",38.8,947,"112580540","0"
"881","Friesian","3",26,186,"112580548","1"
"882","Friesian","3",30,73,"112580553","0"
"883","Guernsey","3",28.2,171,"112580554","0"
"884","Friesian","3",40.6,46,"112580559","0"
"885","Friesian","3",28,119,"112580561","0"
"886","Friesian","3",31.6,944,"112580564","1"
"887","Friesian","2",14.2,155,"112580572","1"
"888","Friesian","3",22.6,167,"112580578","1"
"889","Friesian","2",14.8,175,"112580582","1"
"890","Holstein-Friesian","2",19,261,"112580585","1"
"891","Friesian","3",28,190,"112580592","0"
"892","Friesian","3",22.8,3418,"112580595","1"
"893","Friesian","2",9.6,1613,"112580597","0"
"894","Friesian","3",32.8,240,"112580599","1"
"895","Friesian","2",21.8,544,"112580687","1"
"896","Friesian","2",19.8,193,"112580688","1"
"897","Friesian","2",21.8,696,"112580689","1"
"898","Friesian","2",13.2,312,"112580703","1"
"899","Friesian","2",30.4,262,"112580706","1"
"900","Friesian","2",18.8,155,"112580707","1"
"901","Friesian","2",32,438,"112580708","0"
"902","Friesian","2",14.6,184,"112580709","1"
"903","Friesian","2",31.2,536,"112580710","0"
"904","Friesian","2",26.8,67,"112580711","1"
"905","Friesian","2",22.2,108,"112580712","0"
"906","Friesian","1",20,190,"112580766","1"
"907","Guernsey","1",17,33,"112580767","1"
"908","Friesian","1",20.4,2001,"112580768","1"
"909","Friesian","2",19,164,"112580769","1"
"910","Friesian","2",28.8,188,"112580770","1"
"911","Friesian","1",22.8,768,"112580775","1"
"912","Friesian","1",21.6,27,"112580777","1"
"913","Friesian","1",17.6,499,"112580778","1"
"914","Friesian","2",18.8,456,"112580780","0"
"915","Friesian","1",22.6,131,"112580825","1"
"916","Friesian","1",6,7977,"112580828","1"
"917","Friesian","1",16.4,154,"112580830","1"
"918","Friesian","1",23,189,"112580834","1"
"919","Friesian","1",25.4,62,"112580835","1"
"920","Friesian","1",24.4,330,"112580838","1"
"921","Friesian","1",24.6,43,"112580842","1"
"922","Friesian","1",29.2,39,"112580843","0"
"923","Friesian","1",23.6,162,"112580845","1"
"924","Friesian","1",25.3,60,"112580847","1"
"925","Guernsey","1",21.6,703,"112580848","1"
"926","Friesian","1",21,37,"112580849","0"
"927","Friesian","1",24.8,19,"112580850","1"
"928","Friesian","1",17.8,467,"112580851","0"
"929","Guernsey","1",28,160,"112580854","0"
"930","Friesian","1",21.6,47,"112580856","1"
"931","Friesian","1",12.8,221,"112580857","1"
"932","Friesian","1",30.8,79,"112580859","1"
"933","Guernsey","1",27.8,269,"112580862","1"
"934","Friesian","1",8.8,132,"112580863","1"
"935","Friesian","1",18.7,170,"112580864","1"
"936","Friesian","1",28.6,98,"112580878","0"
"937","Friesian","1",28.4,119,"112580880","1"
"938","Friesian","2",17.2,152,"112581006","1"
"939","Friesian","1",12.1,480,"113850785","0"
"940","Friesian","1",21.6,52,"117560061","1"
"941","Guernsey","5",27.2,154,"117880586","1"
"942","Guernsey","4",12.6,305,"117880621","1"
"943","Guernsey","4",18.6,364,"117880635","1"
"944","Guernsey","4",22.8,49,"117880639","1"
"945","Guernsey","4",24.4,81,"117880643","1"
"946","Guernsey","4",22.6,3203,"117880656","1"
"947","Guernsey","4",29,105,"117880662","0"
"948","Guernsey","3",31.7,17,"117880682","0"
"949","Guernsey","3",21.8,85,"117880688","1"
"950","Guernsey","3",16,326,"117880689","1"
"951","Guernsey","3",25.6,28,"117880691","1"
"952","Guernsey","3",25.4,84,"117880701","0"
"953","Guernsey","3",25.8,38,"117880717","1"
"954","Guernsey","3",25,48,"117880733","0"
"955","Guernsey","2",11.1,260,"117880743","1"
"956","Guernsey","2",20.5,99,"117880746","1"
"957","Guernsey","2",19.7,138,"117880756","1"
"958","Guernsey","2",22.8,164,"117880759","1"
"959","Guernsey","2",24.6,35,"117880761","1"
"960","Guernsey","2",15.6,1698,"117880762","1"
"961","Guernsey","2",12.5,110,"117880763","1"
"962","Guernsey","2",22,23,"117880764","1"
"963","Guernsey","2",24.9,37,"117880765","1"
"964","Guernsey","2",26.6,20,"117880774","0"
"965","Guernsey","2",23.5,21,"117880779","0"
"966","Guernsey","1",6,185,"117880780","0"
"967","Guernsey","2",27,126,"117880783","1"
"968","Guernsey","1",16.8,257,"117880792","1"
"969","Guernsey","1",15,27,"117880795","1"
"970","Guernsey","1",18.6,69,"117880796","1"
"971","Guernsey","1",15.1,377,"117880799","1"
"972","Guernsey","1",17.2,125,"117880804","0"
"973","Guernsey","1",16.5,162,"117880808","0"
"974","Guernsey","1",14,44,"117880811","1"
"975","Guernsey","1",19.8,37,"117880814","1"
"976","Guernsey","1",20.2,31,"117880816","1"
"977","Guernsey","1",18.4,37,"117880817","1"
"978","Guernsey","1",16.7,20,"117880820","1"
"979","Guernsey","1",19,63,"117880832","1"
"980","Guernsey","1",17.6,1105,"117880833","1"
"981","Friesian","1",21,132,"129990040","0"
"982","Guernsey","5",29.2,110,"143030722","0"
"983","Friesian","2",21.4,120,"162420049","0"
"984","Friesian","2",15,150,"162420050","1"
"985","Guernsey","3",21,293,"214080438","1"
"986","Friesian","3",25.6,1878,"222510873","0"
"987","Friesian","3",33.8,44,"223130107","1"
"988","Friesian","3",21.4,88,"265350815","1"
"989","Guernsey","3",22,317,"292870819","1"
"990","Friesian","6",35,290,"293390424","1"
"991","Friesian","3",22,295,"294220487","0"
"992","Friesian","2",22.4,60,"303620653","1"
"993","Friesian","1",21.6,20,"316200527","0"
"994","Friesian","2",20.3,108,"318630045","0"
"995","Friesian","6",21.5,1999,"323720483","1"
"996","Friesian","5",29.5,310,"323720536","1"
"997","Friesian","5",35.1,160,"323720561","1"
"998","Friesian","4",26.2,199,"323720581","0"
"999","Friesian","3",25.8,560,"323720584","1"
"1000","Friesian","3",25.4,370,"323720604","1"
"1001","Friesian","3",17.4,49,"323720617","1"
"1002","Friesian","3",21.6,892,"323720618","0"
"1003","Friesian","3",38.3,1128,"323720629","1"
"1004","Friesian","3",34.7,848,"323720633","1"
"1005","Friesian","3",33,121,"323720634","1"
"1006","Friesian","2",29.2,228,"323720638","0"
"1007","Friesian","2",24.2,144,"323720658","1"
"1008","Friesian","1",16.3,1051,"323720659","0"
"1009","Friesian","2",24.4,841,"323720662","0"
"1010","Friesian","2",25.3,670,"323720663","0"
"1011","Friesian","2",26.2,50,"323720667","0"
"1012","Guernsey","2",19,4247,"323720668","0"
"1013","Friesian","2",28.4,64,"323720703","1"
"1014","Friesian","1",7.1,483,"323720705","1"
"1015","Friesian","2",25.2,42,"323720706","1"
"1016","Friesian","1",19.2,36,"323720711","0"
"1017","Friesian","1",23.2,327,"323720712","1"
"1018","Friesian","1",17.5,3235,"323720713","0"
"1019","Friesian","1",26.5,143,"323720715","0"
"1020","Friesian","1",22.4,75,"323720718","1"
"1021","Friesian","1",29.9,37,"323720722","1"
"1022","Friesian","1",17.4,30,"327430848","1"
"1023","Friesian","1",32.2,623,"334260562","0"
"1024","Friesian","2",23.8,293,"337640730","1"
"1025","Friesian","1",21.4,22,"337640770","1"
"1026","Holstein-Friesian","6",12.4,1035,"349800510","1"
"1027","Holstein-Friesian","6",25.8,659,"349800512","1"
"1028","Holstein-Friesian","5",24.8,857,"349800605","0"
"1029","Holstein-Friesian","4",20.6,291,"349800616","1"
"1030","Holstein-Friesian","4",14,249,"349800623","1"
"1031","Holstein-Friesian","4",27.8,1542,"349800625","1"
"1032","Holstein-Friesian","4",29.2,251,"349800631","1"
"1033","Holstein-Friesian","4",29.2,51,"349800639","1"
"1034","Holstein-Friesian","4",29.6,113,"349800641","1"
"1035","Holstein-Friesian","3",8.8,785,"349800643","0"
"1036","Holstein-Friesian","3",4.4,1030,"349800644","1"
"1037","Holstein-Friesian","3",28.2,147,"349800647","1"
"1038","Holstein-Friesian","3",16.8,1019,"349800648","0"
"1039","Holstein-Friesian","3",20.2,6247,"349800650","1"
"1040","Holstein-Friesian","3",16.6,98,"349800651","1"
"1041","Holstein-Friesian","3",21,145,"349800652","1"
"1042","Holstein-Friesian","3",22.2,580,"349800653","1"
"1043","Holstein-Friesian","3",21.4,1306,"349800654","0"
"1044","Holstein-Friesian","3",26.6,549,"349800655","0"
"1045","Holstein-Friesian","3",19,725,"349800664","1"
"1046","Holstein-Friesian","2",18,948,"349800665","1"
"1047","Holstein-Friesian","2",16.4,1025,"349800666","1"
"1048","Holstein-Friesian","2",21,629,"349800668","1"
"1049","Holstein-Friesian","2",19.6,55,"349800670","0"
"1050","Holstein-Friesian","2",19.8,505,"349800671","1"
"1051","Holstein-Friesian","2",17.8,324,"349800672","0"
"1052","Holstein-Friesian","1",13.4,220,"349800673","1"
"1053","Holstein-Friesian","1",14.4,105,"349800674","1"
"1054","Holstein-Friesian","2",23,67,"349800678","0"
"1055","Holstein-Friesian","2",9.4,446,"349800679","1"
"1056","Holstein-Friesian","2",18.6,242,"349800681","0"
"1057","Holstein-Friesian","2",20.8,48,"349800682","1"
"1058","Holstein-Friesian","2",26.8,202,"349800684","1"
"1059","Holstein-Friesian","1",15.4,15,"349800687","1"
"1060","Holstein-Friesian","1",15.4,20,"349800688","0"
"1061","Holstein-Friesian","1",15.8,31,"349800689","0"
"1062","Holstein-Friesian","1",17,73,"349800690","1"
"1063","Holstein-Friesian","1",18.6,88,"349800691","1"
"1064","Holstein-Friesian","1",8.8,496,"349800692","1"
"1065","Holstein-Friesian","1",16.4,62,"349800693","0"
"1066","Holstein-Friesian","1",13,556,"349800694","1"
"1067","Holstein-Friesian","1",17.8,497,"349800695","1"
"1068","Holstein-Friesian","1",18.4,113,"349800696","1"
"1069","Holstein-Friesian","1",20.8,110,"349800697","1"
"1070","Holstein-Friesian","1",20.6,121,"349800699","0"
"1071","Holstein-Friesian","1",18.4,15,"349800700","1"
"1072","Holstein-Friesian","1",20,22,"349800801","0"
"1073","Holstein-Friesian","1",20.8,16,"349800802","1"
"1074","Holstein-Friesian","1",24.2,35,"349800803","0"
"1075","Holstein-Friesian","1",14,216,"349800804","0"
"1076","Holstein-Friesian","1",17.2,51,"349800805","1"
"1077","Holstein-Friesian","1",14.6,85,"349800806","1"
"1078","Holstein-Friesian","1",20,3694,"349800807","1"
"1079","Holstein-Friesian","1",19.8,398,"349800809","0"
"1080","Friesian","7",31.4,47,"350690344","1"
"1081","Friesian","5",17,916,"350690357","0"
"1082","Friesian","6",31,72,"350690369","1"
"1083","Friesian","5",33.2,485,"350690377","1"
"1084","Guernsey","5",31,180,"350690402","1"
"1085","Friesian","4",31.6,205,"350690403","0"
"1086","Friesian","4",29.8,926,"350690406","0"
"1087","Guernsey","4",30.6,1513,"350690415","1"
"1088","Friesian","3",19.4,1006,"350690418","0"
"1089","Friesian","3",18,152,"350690419","1"
"1090","Guernsey","1",18.4,138,"350690432","0"
"1091","Friesian","2",21,293,"350690433","1"
"1092","Friesian","2",19.6,410,"350690434","1"
"1093","Friesian","2",21.8,142,"350690437","1"
"1094","Friesian","2",14.4,695,"350690438","1"
"1095","Friesian","2",22.4,502,"350690442","0"
"1096","Friesian","2",14.8,281,"350690443","0"
"1097","Friesian","1",19.6,69,"350690455","1"
"1098","Friesian","1",14.6,106,"350690456","1"
"1099","Friesian","1",16.2,308,"350690465","1"
"1100","Friesian","1",15.4,86,"350690466","0"
"1101","Friesian","1",17.6,351,"350690468","0"
"1102","Guernsey","1",19.8,28,"350690475","0"
"1103","Friesian","1",23.2,301,"350690476","0"
"1104","Friesian","1",21.2,246,"350690484","1"
"1105","Friesian","2",28.9,39,"351580736","0"
"1106","Friesian","1",19.8,110,"368560090","0"
"1107","Friesian","2",18.5,274,"370360441","1"
"1108","Friesian","2",13.1,812,"370360444","0"
"1109","Friesian","4",22,68,"391750569","0"
"1110","Friesian","5",27.6,2161,"411850844","1"
"1111","Friesian","2",20.2,221,"428270032","1"
"1112","Friesian","6",16.4,310,"439270605","1"
"1113","Friesian","3",16.8,952,"440321295","0"
"1114","Friesian","2",18.6,305,"440920039","1"
"1115","Friesian","3",31.4,2520,"446420765","0"
"1116","Friesian","4",41.8,90,"447400204","1"
"1117","Friesian","5",29.8,90,"447400215","1"
"1118","Friesian","4",36.4,160,"447400256","0"
"1119","Friesian","3",39.6,260,"447400262","1"
"1120","Friesian","3",22.6,730,"447400266","0"
"1121","Friesian","3",29.6,80,"447400267","1"
"1122","Friesian","3",25.2,270,"447400279","1"
"1123","Friesian","3",37.8,40,"447400294","0"
"1124","Friesian","2",17.8,500,"447400296","1"
"1125","Friesian","2",14,390,"447400297","1"
"1126","Friesian","1",15.6,100,"447400308","1"
"1127","Friesian","1",21.6,60,"447400311","0"
"1128","Friesian","1",20.4,40,"447400319","1"
"1129","Friesian","1",18.4,60,"447400320","1"
"1130","Friesian","1",20.2,270,"447400321","1"
"1131","Friesian","1",17.4,150,"447400322","1"
"1132","Friesian","1",20,140,"447400323","1"
"1133","Friesian","1",20.8,60,"447400324","1"
"1134","Friesian","1",22.4,100,"447400326","1"
"1135","Friesian","1",15.2,280,"447400327","1"
"1136","Friesian","1",19.4,90,"447400328","1"
"1137","Friesian","1",22.2,80,"447400329","1"
"1138","Guernsey","4",38.2,230,"452201582","1"
"1139","Friesian","4",31,110,"452201583","1"
"1140","Friesian","3",38,120,"452201818","0"
